"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"ru	Биржа Binance заблокировала криптокошельки дочери Пескова и падчерицы Лаврова https://t.co/YKwXT61u7c #Ukraine #Russia"								
"uk	Грушка над річкою цвіте🌸 Запашні сушки з цієї дички🍐 My #Ukraine https://t.co/WIdVz77Hla"								
"ru	RT @Za_nashihVZ: Не в бровь"	 а в глаз	 Сергей Викторович.   Министр иностранных дел рассказал анекдот про эстонцев. #Ukraine #kyiv #ukraine…						
"ru	В #Ukraine зайдет польская сеть АЗС https://t.co/zHdcLKhjSy #ua"								
"uk	RT @xxnotsuga: Але"	 Українців просять покинути територію #Молдови та виїхати до інших країн ЄС Все буде Україна 🇺🇦✨ #BuchaMassacre #Mariupo…							
"uk	RT @mil_in_ua: 🇪🇪🇺🇦Команда естонських фахівців з розмінування буде допомагати українським колегам на ротаційній основі  https://t.co/NeUtR6…"								
"uk	RT @mil_in_ua: В Конгресі 🇺🇸США хочуть дозволити використання армії в 🇺🇦Україні  Конгресмен від Іллінойсу Адам Кінзінгер прагне дозволити в…"								
"uk	RT @brave_ukraine: Ніл Хасевич – головний художник УПА. «Слава Україні!» Дата створення: 15 вересня 1949 року #Ukraine #SlavaUkraini #Ukrai…"								
"uk	RT @mil_in_ua: 🇺🇦 Українські військові знищили бронетехніку російський військових в селі Сулигівка на Харківщині  Ця техніка мала відправит…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	❗️В приложении Whatsapp - массовый сбой. via https://t.co/nh3XjCKJos #ukraina #ukraine #ukrainian #Україна #Украину #war https://t.co/KQQlgIeD0f"								
"uk	RT @FCShakhtar: ⚽️ Результативна нічия 3:3 у благодійному матчі з «Хайдуком» 🇺🇦🤝🇭🇷  Дивіться голи Топалова"	 Стасюка	 Борячука та інші найкр…						
"ru	""🔶 Новый укрорейх подъехал 😂😂😂  Верховная Рада Украины публикует видео из игры и заявляет"	" что российский самолет был сбит из ПЗРК """"Стингер"""" . (Игра Аrma)  #Ukraine #UkraineWar #Russia #fake #NEWS  #укрофейк #Украина https://t.co/5olnKRAR58"""							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"ru	три ракетных удара были нанесены по Киеву #Kyiv #UkraineRussiaWar #Ukraine  #StopRussia #StopPutinNOW #Genocideinukraine #RussiaInvadedUkraine  #HelpUkraine #RussiaUkraineWar #Киев https://t.co/Vk3aTotKJS"								
"ru	RT @XdWX5P8eHve9YXz: Если вы так хотите окончания войны"	 #Ukraine 	 мой вам совет: избавляйтесь от своих командиров и сдавайтесь. Мы знаем	…					
"uk	RT @mil_in_ua: 🇺🇦 Українським армійцям та теробороні благодійники підготували 22 маневрові автівки  Джипи та пікапи шукали по всій Європі —…"								
"uk	#ukraine “ВІЙНА. НЕЗЛАМНА УКРАЇНА”: телемарафон і всі новини – трансляція (Відео)  https://t.co/xaE5U51qPl  https://t.co/JtNnhuAedS"								
"ru	Как это могло должно быть на самом деле. #Путин #Зеленский #байден #война #россия #украина #Putin #Zelensky #Biden #War #Russia #Ukraine https://t.co/2GWIGprbZD"								
"ru	Пуск высокоточных ракет «Оникс» по ангару в районе Одессы с вооружением и боеприпасами"	 поступившими из США и Европы. Также была разрушена взлётно-посадочная полоса	 сообщили в Минобороны РФ. #Ukraine #UkraineWar #Russia #Беларусь #RussiaUkraineWar https://t.co/YHHdswQsYy						
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"uk	RT @berdynskykh_k: Київ. Весна-літо 2022 #Ukraine🇺🇦 https://t.co/sB22OTi2tS"								
"ru	В район Азовстали в Мариуполе в сопровождении джипов ООН и машин с белыми флагами прибыли эвакуационные автобусы.#Украина #SaveMariupol #Azovstal #UkraineWar #UkraineRussianWar #ukraine https://t.co/II5WjVfoLn"								
"uk	RT @inJesus1994: #Ukraine Жителі Демидіва навмисно затопили своє село разом із величезними полями та болотами навколо нього"	 створивши боло…							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @Za_nashihVZ: Между ВСУ и нацбатами на сегодняшний день нет никакой разницы - военный эксперт Ян Гагин. #МояГодовщинаВТвиттере #маска #B…"								
"uk	#ukraine “Друга армія світу” зазнала втрат на 4 напрямках"	 не досягши особливих успіхів – Генштаб ЗСУ https://t.co/mcDFPlyoJe							
"ru	RT @OnfireUkraine: Харьков. Свалка каркасов кассетных ракет"	 собранных аварийными и спасательными службами по городу. Вот такая она	 свалка…						
"uk	RT @CanisBruno: 🌻Аллюзія на Георгія Змеєборця. Я наскетчив цей арт одночасно з малюнком"	 який посилався на Геракла що роздирає пащу леву  #…							
"uk	RT @mil_in_ua: 🇺🇦 Українські військові показали"	 як звичайним дроном зробити групу російських окупантів небоєздатною  Деталі: https://t.co/…							
"ru	RT @S_vivat: ВСУ🇺🇦 точным ударом уничтожают российско-фашистских оккупантов. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/hlOO…"								
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"ru	Возлюбленной Украинке Виктории  https://t.co/GcD79hM9Rt  #ukraine #godsaveukraine #istandwithukraine #нетвойне #мирумир #standwithukraine https://t.co/mn5ZInWBGT"								
"ru	Чтобы уничтожить страну"	 по его словам	 хватит удара одной ракеты «Сармат»	 а подводный комплекс «Посейдон» «поднимет гигантскую волну высотой до 500 метров и превратит Британские острова в радиоактивную пустыню» #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️					
"ru	RT @S_vivat: Дрон ВСУ🇺🇦 уничтожает два БМП российских фашистов.  #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/Si5h2suofx"								
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"ru	RT @Za_nashihVZ: Ничего необычного. Просто один из российских губернаторов направился в зону проведения СВО поддержать подразделение"	 прибы…							
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України взяли на озброєння трофейну російську броньовану вантажівку Урал «Торнадо-У»  Автомобіль допомагає у…"								
"uk	RT @mil_in_ua: 🇺🇦 Українські сили знищили за допомогою американської зброї сучасну російську бронетехніку  По бронетехніці росіян влучно ві…"								
"uk	Коли так хочеться померти"	 Бо все розбито 	як кришталь... Я згадую лише одне: ... Азовсталь... #war #Mariupol #genocide #Ukraine						
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на східному напрямку нанесли удар по артилерії російських окупантів  Дрон зафіксував наслідки удару п…"								
"uk	RT @mil_in_ua: 🇺🇦Бійці 24-ї бригади ліквідували російських десантників на Луганщині  Семеро окупантів лишилися живими"	 всіх інших ліквідова…							
"uk	RT @mil_in_ua: 🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі…"								
"ru	""RT @S_vivat: Мариуполь. Дети на заводе """"Азовсталь"""". Каждый день кто-то из них погибает. Русские их морят голодом"	 бомбят бомбами	" потому чт…"""						
"ru	#Ukraine #Belarus #Russia #UkraineRussiaWar #UkraineWar  Арка дружбы народов. https://t.co/N5vAvaRXXI"								
"uk	Дякую тобі Боже"	 що я не москаль. #Україна #ukraine #landlease #UkraineRussiaWar #usa https://t.co/i9KvsELxSO							
"uk	RT @mil_in_ua: 🇺🇦 Українські сили знищили за допомогою американської зброї сучасну російську бронетехніку  По бронетехніці росіян влучно ві…"								
"uk	RT @mil_in_ua: 🇺🇦 У звільненому населеному пункті Руська Лозова українські військові показали полонених та знищену техніку армії Росії  Це…"								
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"ru	Перестрелка между бурятами и чеченцами под Чернобаевкой. Арестович сказал"	 кто победил https://t.co/rxmmJ6kjLH #Russia #Ukraine							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @TerryWays1: Підтримуємо економіку країни) #УкрТві #Belgorod #Ukraine https://t.co/GPyhtUTKy4"								
"ru	RT @S_vivat: Типичные российские фашисты в самой фашистской России. Так возрождался фашизм.  #Ukraine #UkraineRussianWar #UkraineWar #War h…"								
"uk	""RT @mil_in_ua: 🇩🇪Німеччина розглядає можливість передачі 🇺🇦Україні """"PzH 2000"""" Уряд Німеччини готується ухвалити рішення щодо передачі Украї…"""								
"uk	RT @mil_in_ua: 🇺🇦Українські десантники знищили російську вантажівку з боєприпасами  Автомобіль знаходився біля будинку в населеному пункті.…"								
"ru	RT @MaitanovAzamat: Этого сепара и ряженного клоуна из Экибастуза"	 поддерживающего российскую агрессию в Украине	  нашли наши патриоты. Он…						
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"uk	RT @mil_in_ua: 🇺🇦Воїни-десантники знищили групу спеціального призначення російських окупантів на Донбасі  Окупанти прибули з Сибіру.  https…"								
"ru	россияни не против войны в Украине.  Опрос CNN показывает"	 что 50% россиян считают правильным применение военной силы	чтоб удержать Украину от вступления в #НАТО. #войнавукраине #Ukraine #Украина #StopRussia https://t.co/j5IdRDGFqL						
"ru	Вот"	 как-то так! #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimesInUkraine https://t.co/1XDDOj1LBw							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	🕌🇺🇦 Вооружённые силы Украины опубликовали видеоролик по случаю наступления Ид аль-Фитр (Ураза Байрам) и поздравили мусульман с религиозным праздником.  #RussiaUkraineConflict #Russia #Ukraine #Rusya #Ukrayna #Россия #Украина https://t.co/h5CnUIfETP"								
"ru	""""""Выдвигались на задачу – отправились в ад"""": видео ликвидации танкового экипажа оккупантов https://t.co/sZoyeazZVT #Russia #Ukraine"""								
"ru	RT @Za_nashihVZ: 30 апреля 1945 года Адольф Гитлер совершил самоубийство.  Украинский порошковый фюрер мог бы повторить своего кумира и при…"								
"ru	В России намечается дефицит колбасы https://t.co/FmY76xCW5p #Ukraine #Russia"								
"uk	RT @mil_in_ua: 🇺🇦Мобілізація в Україні може продовжитися після 24 травня  Наразі вона виконана на 100%.  Деталі: https://t.co/7Kq8khxCn8  #…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @mil_in_ua: 🇺🇦 Фондову колекцію музею Києва поповнило хвостове оперення збитого російського штурмовика Су-25СМ  Частину літака ПКС Росії…"								
"ru	""RT @S_vivat: Фашисты русского мира и фашистских организаций РФ. Любители фашистской """"новороссии"""". Русский мир = фашизм.   #Ukraine #Ukraine…"""								
"ru	Польша готова защищать воздушное пространство Словакии"	 когда она передаст МиГ-29 Украине https://t.co/438Qo9viTe #Russia #Ukraine							
"ru	""RT @Za_nashihVZ: """"Андрюха"	 (БЕЗРУК АНДРЕЙ ПАВЛОВИЧ)	 который собирался приехать ко мне домой резать рашистов. Не утруждай себя	" скоро будем…"""					
"uk	RT @FCShakhtar: 🇺🇦🤝🇭🇷 Наші голи в благодійному матчі з «Хайдуком» (3:3).  ⚽️ Топалов ⚽️ Стасюк ⚽️ Борячук  #ХайдукШахтар #Shakhtar #Україна…"								
"uk	Ерлінг Голанд оформлює хет-трик"	 проте все одно не рятує Дортмунд від поразки 😨  #setantasports #tv #kyiv #ukraine #sport #football #холланд #боруссиядортмунд https://t.co/ZKt5N47Oqo							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @ukrainewinwar: 🙏 У повністю зруйнованому будинку в Бородянці Київської області під завалами знайдено ікону"	 яка дивом вціліла після стр…							
"uk	【Ще не вмерла Україна🇺🇦】  Ми на своїй землі! Пирятинці виконують Державний гімн України!   #UkrainianNationalAnthem🇺🇦 #ЩеневмерлаУкраїна🇺🇦 #ウクライナ国歌🇺🇦 #ウクライナは滅びず🇺🇦 #ウクライナ🇺🇦 #Ukraine🇺🇦 #Україна🇺🇦 #СлаваУкраїні🇺🇦 https://t.co/lebMpijNKN"								
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	Київ. Весна-літо 2022 #Ukraine🇺🇦 https://t.co/sB22OTi2tS"								
"uk	""RT @UaFcoin: 🇺🇦 ЗВІТ ЗА 30.04 🌼 50 000 для Андрія Ріффмастера 🌼 10 000 для ДУК ПС та ТрО """"Хорт"""" І дещо цікаве вже на проміжному пункті😄  Зв…"""								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	""RT @S_vivat: Российский генерал Симонов ликвидирован в результате удара ВСУ 🇺🇦 в районе Изюма. По разведданным"	" около 100 """"двухсотых"""" в рез…"""							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	RT @mil_in_ua: 🇵🇱#Польща передала 🇺🇦Україні понад дві сотні танків T-72 та бойові машини піхоти  Цих танків вистачить на оснащення двох тан…"								
"uk	RT @art_prosto___: Це ті самі маленькі кізоньки 👀 #Ukraine #украрт #укртві #арткозацтво https://t.co/UCOStX8tVA"								
"ru	""RT @S_vivat: Военнослужащий Национальной гвардии Украины🇺🇦 из  ПЗРК """"Игла"""" сбил российский боевой самолет СУ-25 """"Грач"""". Вражеский пилот-фаш…"""								
"ru	RT @NVoslov: Да! #Ukraine #UkraineRussiaWar https://t.co/FFOTs6VKvP"								
"ru	""Украинские боевики не выпускали людей с """"Азовстали"""""	 им пришлось выходить самим	 рассказала РИА Новости жительница Мариуполя	" вышедшая из прилегающих к заводу кварталов #Azovstal #Россия #новини #Ukraine #Russian #UkraineWar https://t.co/tzvQE7X6Gc"""					
"ru	Пентагон: Россия отстает от графика на Донбассе https://t.co/LWPL7NQqp4 #Ukraine #Russia"								
"ru	RT @Za_nashihVZ: Между ВСУ и нацбатами на сегодняшний день нет никакой разницы - военный эксперт Ян Гагин. #МояГодовщинаВТвиттере #маска #B…"								
"ru	RT @Za_nashihVZ: НаВоЗ. Мамин Спэшл. Бесславная смерть.  Дмитрий Серебряков - сгнил под Лиманом и отправился к Бандере. За что воевал непон…"								
"ru	""Оккупанты """"перестали давить"""" на Изюмском направлении. Арестович не знает"	" почему https://t.co/3EyislOtqH #Russia #Ukraine"""							
"ru	RT @Za_nashihVZ: Ничего необычного. Просто один из российских губернаторов направился в зону проведения СВО поддержать подразделение"	 прибы…							
"ru	RT @OnfireUkraine: Кадры нанесения авиационных ударов экипажами вертолётов Ка-52 по военным объектам ВСУ. Не долго осталось вам летать... #…"								
"uk	RT @mil_in_ua: 🇺🇦 У вільному доступі з’явилося відео"	 як Збройні Сили України з ПТРК уразили другий російський вертоліт Ка-52  Повідомлено	…						
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України знищили місце розташування боєприпасів російських військових  Також бійці уразили техніку росіян"	 як…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @S_vivat: В Херсонской области бурята начали стрелять в кадыровцев после того"	 как кадыровцы украли вещи которые бурята украли из украин…							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @antiputler_news: – Дочка не встигла. Довелося поховати її на городі під грушею.   #Україна"	 #Украина	 #Ukraine	 #ВійнаУкраїна	 #WarUkra…				
"ru	RT @S_vivat: Русский фашизм (очень кратко). Российским великодержавным шовинистам-фашистам"	 путинистам	 имперцам и прочей рашистской нечест…						
"uk	RT @ng_ukraine: ⚡️Гвардійський медик про медицину в умовах обстрілів"	 що не вщухають  Детальніше: https://t.co/bm1D4XdTIG  #нгу #медики #ме…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @mil_in_ua: 🇺🇸Американці гвардійці навчають 🇺🇦українських військових в 🇩🇪Німеччині  Деталі: https://t.co/3UCRuEep0T  #Україна #Ukraine #…"								
"uk	RT @_Denyshchenko: Сьогоднішній пост про сміливих та відважних хлопців з Попасної: Олександра Прокопенко"	 Віталія Трофименко та Михаїла Пан…							
"uk	【Ще не вмерла Україна🇺🇦】  Гімн України - Anastel (Анастель)   День Незалежності України   #UkrainianNationalAnthem🇺🇦 #ЩеневмерлаУкраїна #ウクライナ国歌🇺🇦 #ウクライナは滅びず🇺🇦 #ウクライナ🇺🇦 #Ukraine🇺🇦 #Україна🇺🇦 #СлаваУкраїні🇺🇦 https://t.co/Z5Cqet9JlF"								
"uk	RT @mil_in_ua: 🇪🇪🇺🇦Команда естонських фахівців з розмінування буде допомагати українським колегам на ротаційній основі  https://t.co/NeUtR6…"								
"uk	#Kyiv #Ukraine #UkraineRussiaWar #StopWarInUkraine  Інтерв'ю Володимира Зеленського проекту 60 Мinutes австралійського телек... https://t.co/G5Te2KYvXr через @YouTube"								
"ru	RT @S_vivat: ВСУ🇺🇦 нанесли ракетный удар по пункту управления армии РФ на границе Луганской и Харьковской областей. Уничтожено  много техни…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"ru	RT @Za_nashihVZ: Z в зоне проведения Специальной Военной Операции #Ukraine #kyiv #ukraineWar #azov #UkraineRussia #NATO #war #news  #ukrain…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @Za_nashihVZ: В Красноярске кто-то заклеил такими плакатами многие остановки города 🤙 #putin #russia #armyofrussia #biden #ukraine #army…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦Палата представників Сполучених Штатів більшістю голосів ухвалила закон про ленд-ліз та захист демократії в Україні  Це…"								
"uk	RT @mil_in_ua: 🇺🇦Повітряне командування “Південь” підсилили ЗРК С-300  ЗРК С-300 вже на бойовому чергуванні.  Деталі: https://t.co/121Le1k4…"								
"uk	RT @mil_in_ua: 🇺🇦Сьогодні на світанку біля острова Зміїний у Чорному морі було знищено два російські патрульно-десантні катери «Раптор»  ht…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @voynareal: Прекрасная работа бригады быстрого реагирования Нацгвардии   Русня планировала отправиться на задание"	 а направилась прямо в…							
"ru	""Русский мир во всей красе. К заделаному памятнику приходили люди и хрестились"	" надеясь что следующая ракета """"За Детей"""" или """"Христос Воскрес"""" не уничтожит столь прекрасное сооружение. #Ukraine #UkraineRussiaWar #Lviv #RussianWarCrimes #Russianworld https://t.co/0Rnk349oDu"""							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"ru	""RT @S_vivat: Российский генерал Симонов ликвидирован в результате удара ВСУ 🇺🇦 в районе Изюма. По разведданным"	" около 100 """"двухсотых"""" в рез…"""							
"ru	Артиллеристы 57-й ОМБр им. Костя Гордиенка разбили колонну русской бронетехники в зоне ООС #Ukraine #Russia #War #RussianUkrainianWar  #Украина #Россия #война https://t.co/X7zSxUdJOj"								
"uk	RT @digidiploTaiwan: Що спільного між Тайванем та Україною? Ми перетворюємо ракети наших сусідів на щось корисне. Ми славимо хоробрість укр…"								
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	""RT @mil_in_ua: 🇺🇦Сили оборони України ліквідували батарею ворожих РСЗВ """"Ураган""""  Військові 30 окремої механізованої бригади ім. князя Костя…"""								
"ru	30 единиц техники армии РФ уничтожено ВСУ на подступах к Изюму.#SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimesInUkraine https://t.co/N6LB3CR9kN"								
"ru	RT @protest_da: Мариуполь. Русские пытались перебежать"	 но получилось не у всех  #Украина #Мариуполь #Mariupol #Ukraine #UkraineWar #Russia…							
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"ru	https://t.co/2l176L47kQ  РФ готовила в Одессе массовые беспорядки и массовые акции антиукраинского характера  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на Харківщині знищили військову техніку російських окупантів  Працювала українська артилерія.  https:…"								
"ru	RT @RufatAbas: Ответ Армана Шураева из Казахстана пропагандону Кеосаяну   #Kazakhstan #Ukraine #Azerbaijan #Russia https://t.co/DONVhe1IDM"								
"ru	Правильно сказав  #ukraine  https://t.co/JIRQmZ0Qcf"								
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 В Сполучених Штатах Америки підготували чергову партію гаубиць M777 для України  Гаубиці доставляються за допомогою літ…"								
"uk	Дуже багато питань мови... Хто був раніше...хто в кого пиздить культуру"	 пісні	 історію	 відомих спеціалістів... Рашистська педерація вже давно показала Світу ким являється...  #Ukraine #RussiaUkraineWar #StopRussia #russianslivesdontmatter https://t.co/Wvd9FalYVJ					
"uk	RT @mil_in_ua: 🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @mil_in_ua: В Конгресі 🇺🇸США хочуть дозволити використання армії в 🇺🇦Україні  Конгресмен від Іллінойсу Адам Кінзінгер прагне дозволити в…"								
"uk	RT @mil_in_ua: 🇳🇴#Норвегія має намір поставити до 🇺🇦України гусеничні 155-мм самохідні гаубиці  Мова йде про артилерійські установки M109A3…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @_Denyshchenko: Ось такі мальовничі заходи сонця бувають на Луганщині.  Разом до перемоги!  #Ukraine  #StandWithUkraine  #StandUpForUkra…"								
"ru	RT @kovnirdev: Написал небольшую игрушку"	 в которой нужно на время тыкать на указанные города или области на карте Украины. Если людям зайд…							
"ru	RT @OnfireUkraine: Хороший знак для Украины!?В полностью разрушенном доме в Бородянке Киевской области под завалами найдена икона"	 чудом уц…							
"uk	RT @Khers_ON: Отримали гуманітарну допомогу з Польщі. Багато медицини"	 засобів гігієни та їжі. Все піде на фронт вже у вівторок. Зверніть у…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @CASBT_OSINT_UA: https://t.co/leKmdw62m3  Бригада імені Лицарів Зимового Походу знищила Т-90А  🇺🇦 Механізовані війська Збройних Сил Укра…"								
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"ru	RT @S_vivat: Артиллерия ВСУ🇺🇦 уничтожила батарею РСЗО «Ураган» российских оккупантов вместе с машинами обеспечения и живой силой путинских…"								
"uk	RT @antiputler_news: – Дочка не встигла. Довелося поховати її на городі під грушею.   #Україна"	 #Украина	 #Ukraine	 #ВійнаУкраїна	 #WarUkra…				
"uk	@ZelenskyyUa Но ми всі чудово розумієм що це формальність і насправді червоний хрест - підараси  https://t.co/l7RjmEqOSn #zelensky #kiew #ukraine #UkraineUnderAttack #Ukarine #UkraineWar #ICRC #RusiaVsUcrania #Bucha #Mariupol #Donetsk #Donbass #Kherson #Херсон"								
"ru	#Ukraine #Belarus #Russia #UkraineRussiaWar #UkraineWar  Переполнена Россия рожами и харями"	 Даже образ богочеловека искажён – Москали-церковники	 его на танках	 Отправляют в Украину	 Чтобы лез под пули	 на рожон. https://t.co/DZzvd2TD66			
"ru	A я на него х*й поклал...  #StopWarInUkraine #Putin #Ukraine #Russia #kiev #Киев #Украина #путинхуйло #Россия #Война #ДеПутинизация #RussiaInvadedUkraine #StopRussianAggression #StandUpForUkraine https://t.co/9wibPP5TeO"								
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України продовжують повертати під контроль населені пункти на околицях Харкова  У результаті наступу підрозд…"								
"uk	Також Боріс Джонсон сказав"	 що локальне виробництво енергії зараз важливе як ніколи.  #війна #енергетика #борисджонсон #Ukraine							
"ru	@vai001 Русский солдат! Ты ответишь за все свои преступления! Мы тебя найдём. #Anonymous #Ukraine #AnonymousRussia #Russia #Russian #OpRussia #FckPutin #StopPutin #нетвойне https://t.co/uyfXn6gLhP"								
"ru	RT @S_vivat: Крылья ВСУ🇺🇦 за работой. Оккупанты идут в утиль.  #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/mPEAhy3ruM"								
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"uk	Гарного дня! 🌻 #доброговечорамизукраїни #українапонадусе #Ukraine #Україна #Украина https://t.co/IcQ6ypTm3D"								
"ru	RT @Ukraine_Twi: Bayraktar TB2 Вооруженных сил Украины уничтожил русскую ЗРК C-300 #Ukraine #Russia #War #RussianUkrainianWar  #Украина #Ро…"								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України взяли на озброєння трофейну російську броньовану вантажівку Урал «Торнадо-У»  Автомобіль допомагає у…"								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України знищили техніку та живу силу на острові Зміїний  Деталі: https://t.co/igdKlVcGRU  #Україна #Ukraine"								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на східному напрямку нанесли удар по артилерії російських окупантів  Дрон зафіксував наслідки удару п…"								
